,ds,floor,cap
795,2022-05-05,0,17368
796,2022-05-06,0,17368
797,2022-05-07,0,17368
798,2022-05-08,0,17368
799,2022-05-09,0,17368
800,2022-05-10,0,17368
801,2022-05-11,0,17368
802,2022-05-12,0,17368
803,2022-05-13,0,17368
804,2022-05-14,0,17368
805,2022-05-15,0,17368
806,2022-05-16,0,17368
807,2022-05-17,0,17368
808,2022-05-18,0,17368
809,2022-05-19,0,17368
810,2022-05-20,0,17368
811,2022-05-21,0,17368
812,2022-05-22,0,17368
813,2022-05-23,0,17368
814,2022-05-24,0,17368
815,2022-05-25,0,17368
816,2022-05-26,0,17368
817,2022-05-27,0,17368
818,2022-05-28,0,17368
819,2022-05-29,0,17368
820,2022-05-30,0,17368
821,2022-05-31,0,17368
822,2022-06-01,0,17368
823,2022-06-02,0,17368
824,2022-06-03,0,17368
825,2022-06-04,0,17368
826,2022-06-05,0,17368
827,2022-06-06,0,17368
828,2022-06-07,0,17368
829,2022-06-08,0,17368
830,2022-06-09,0,17368
831,2022-06-10,0,17368
832,2022-06-11,0,17368
833,2022-06-12,0,17368
834,2022-06-13,0,17368
835,2022-06-14,0,17368
836,2022-06-15,0,17368
837,2022-06-16,0,17368
838,2022-06-17,0,17368
839,2022-06-18,0,17368
840,2022-06-19,0,17368
841,2022-06-20,0,17368
842,2022-06-21,0,17368
843,2022-06-22,0,17368
844,2022-06-23,0,17368
845,2022-06-24,0,17368
846,2022-06-25,0,17368
847,2022-06-26,0,17368
848,2022-06-27,0,17368
849,2022-06-28,0,17368
850,2022-06-29,0,17368
851,2022-06-30,0,17368
852,2022-07-01,0,17368
853,2022-07-02,0,17368
854,2022-07-03,0,17368
855,2022-07-04,0,17368
856,2022-07-05,0,17368
857,2022-07-06,0,17368
858,2022-07-07,0,17368
859,2022-07-08,0,17368
860,2022-07-09,0,17368
861,2022-07-10,0,17368
862,2022-07-11,0,17368
863,2022-07-12,0,17368
864,2022-07-13,0,17368
865,2022-07-14,0,17368
866,2022-07-15,0,17368
867,2022-07-16,0,17368
868,2022-07-17,0,17368
869,2022-07-18,0,17368
